candidateID,surfactant_in_water,ratio_of_surfactant_in_water,ratio_of_surfactant_in_oil,oil_type,surfactant_in_oil,ion_concentration_in_water,reward,TRUE,valid_reward,picindex,is_augmented
140A,LDEA,0.1,0.1,7500,Pico-surf,1,35.55059373073064,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",TRUE
146A,ODEA,0,0,7500,Pico-surf,2,20.28,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\3.jpg""",FALSE
147A,CEDA,0.1,0.002,PMX-200,TEGO-410,1,16.95,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\6.jpg""",FALSE
148A,CEDA,0.1,0.002,FC-40,Perfluoro,1.5,8.16,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\7.jpg""",FALSE
149A,LDEA,0,0,PFPE,Perfluoro,0,5.85,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\8.jpg""",FALSE
150A,LDEA,0.1,0.002,PMX-20,TEGO-410,1,22.96,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\9.jpg""",FALSE
151A,ODEA,0.1,0.5,mineral,SR,2,11.14,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\10.jpg""",FALSE
152A,ODEA,0.5,0,FC-40,Pico-surf,2.5,6.37,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\12.jpg""",FALSE
153A,ODEA,0.002,0,PMX-1000,TEGO-410,3,4.84,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\16.jpg""",FALSE
154A,CEDA,0.002,0,PMX-350,Pico-surf,0,15.39,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\17.jpg""",FALSE
155A,ODEA,0.5,0,mineral,Perfluoro,3,11.19,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\18.jpg""",FALSE
156A,CEDA,0,0.5,PFPE,Perfluoro,2.5,10.68,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\19.jpg""",FALSE
157A,LDEA,0.1,0.002,PMX-20,TEGO-410,0.5,22.41,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\21.jpg""",FALSE
158A,LDEA,0.1,0.1,PMX-20,TEGO-410,1,24.45,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\22.jpg""",FALSE
159A,LDEA,0.002,0.1,PMX-20,TEGO-410,1,20.6,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\23.jpg""",FALSE
160A,CEDA,0.1,0.1,PMX-20,TEGO-410,0.5,23.28,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\24.jpg""",FALSE
161A,ODEA,0.1,0.1,PMX-20,TEGO-410,1,19.45,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\25.jpg""",FALSE
162A,LDEA,0.1,0.1,PMX-20,TEGO-410,0.5,23.05,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\26.jpg""",FALSE
163A,CEDA,0.1,0.1,PMX-20,TEGO-410,1,23.59,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\27.jpg""",FALSE
164A,LDEA,0.1,0.1,PMX-20,TEGO-410,1.5,25.74,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\28.jpg""",FALSE
165A,LDEA,0.1,0.1,PMX-20,TEGO-410,2,22.81,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\29.jpg""",FALSE
166A,CEDA,0.1,0.1,PMX-20,TEGO-410,1.5,23.76,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\31.jpg""",FALSE
167A,ODEA,0,0,7500,Pico-surf,0.5,22.57,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\32.jpg""",FALSE
168A,CEDA,0.002,0.1,7500,Pico-surf,1,31.65,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\33.jpg""",FALSE
169A,CEDA,0.1,0.1,7500,Pico-surf,1,34.72,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\34.jpg""",FALSE
170A,CEDA,0.1,0.1,7500,Pico-surf,0.5,33.96,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\35.jpg""",FALSE
171A,CEDA,0.1,0.1,7500,Pico-surf,1.5,35.61,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\36.jpg""",FALSE
172A,LDEA,0.1,0.1,7500,Pico-surf,1.5,36.11,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",FALSE
173A,LDEA,0.1,0.1,7500,Pico-surf,1,35.65,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\37.jpg""",FALSE
